Year,quarter,city1,city 1 latitude,city 1 longitude,city2,city 2 latitude,city 2 longitude,fare,,,,,,,city 1 temp,city 1 latitude temp,city 2 longitude temp,city 2 temp,city 2 latitude temp,city 2 longitude temp
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Phoenix, Arizona",33.4483771,-112.0740373,249.68,,,,,,,Cincinnati,39.1031182,-84.5120196,"Greenville/Spartanburg, SC",34.9507334,-81.9499806
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Hartford, Connecticut",41.7658043,-72.6733723,343.73,,,,,,,Cleveland,41.49932,-81.6943605,"Harlingen, Texas",26.1906306,-97.6961026
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Seattle,47.6061389,-122.3328481,268.89,,,,,,,"Colorado Springs, Colorado",38.8338816,-104.8213634,"Harrisburg, Pennsylvania",40.2731911,-76.8867008
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"El Paso, Texas",31.7618778,-106.4850217,214.72,,,,,,,"Columbia, South Carolina",34.0007104,-81.0348144,"Hartford, Connecticut",41.7658043,-72.6733723
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Nashville, Tennessee",36.1626638,-86.7816016,226.55,,,,,,,"Columbus, Ohio",39.9611755,-82.9987942,Houston,29.7604267,-95.3698028
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Washington, DC (Metropolitan Area)",39.1289725,-77.3783789,250.37,,,,,,,"Concord, North Carolina",35.4087517,-80.579511,"Huntsville, Alabama",34.7303688,-86.5861037
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,St. Louis,38.6270025,-90.1994042,219.24,,,,,,,"Corpus Christi, Texas",27.8005828,-97.396381,Indianapolis,39.768403,-86.158068
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Jacksonville, Florida",30.3321838,-81.655651,294.31,,,,,,,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Jackson, Mississippi",32.2987573,-90.1848103
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Detroit,42.331427,-83.0457538,246.61,,,,,,,"Dayton, Ohio",39.7589478,-84.1916069,"Jackson, Wyoming",43.4799291,-110.7624282
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Des Moines, Iowa",41.5868353,-93.6249593,267.31,,,,,,,Denver,39.7392358,-104.990251,"Jacksonville, Florida",30.3321838,-81.655651
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Houston,29.7604267,-95.3698028,178.12,,,,,,,"Des Moines, Iowa",41.5868353,-93.6249593,"Kalispell, Montana",48.1919889,-114.3168131
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Orlando, Florida",28.5383832,-81.3789269,232.22,,,,,,,Detroit,42.331427,-83.0457538,"Kansas City, Missouri",39.0997265,-94.5785667
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Panama City, Florida",30.1588129,-85.6602058,246.27,,,,,,,"Eagle, Idaho",43.6954424,-116.3540138,Key West,24.5550593,-81.7799871
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Valparaiso, Florida",30.5085309,-86.5027282,245.35,,,,,,,"El Paso, Texas",31.7618778,-106.4850217,"Knoxville, Tennessee",35.9606384,-83.9207392
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Minneapolis–Saint Paul,44.9374831,-93.2009998,273.9,,,,,,,"Eugene, Oregon",44.0520691,-123.0867536,Las Vegas,36.171563,-115.1391009
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,New York City,40.7127753,-74.0059728,202.5,,,,,,,"Everett, Washington",47.9789848,-122.2020794,"Little Rock, Arkansas",34.7444618,-92.2880157
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Fort Myers, Florida",26.640628,-81.8723084,319.1,,,,,,,"Fargo, North Dakota",46.8771863,-96.7898034,Los Angeles,34.0549076,-118.242643
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Greenville/Spartanburg, SC",34.9507334,-81.9499806,331.14,,,,,,,"Fayetteville, Arkansas",36.0626579,-94.1605839,"Louisville, Kentucky",38.2526647,-85.7584557
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Grand Rapids, Michigan",42.9633599,-85.6680863,315.12,,,,,,,"Flint, Michigan",43.0125274,-83.6874562,"Lubbock, Texas",33.5845617,-101.8456417
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Harlingen, Texas",26.1906306,-97.6961026,182.97,,,,,,,"Fort Myers, Florida",26.640628,-81.8723084,"Madison, Wisconsin",43.0721661,-89.4007501
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Las Vegas,36.171563,-115.1391009,232.7,,,,,,,"Fort Wayne, Indiana",41.079273,-85.1393513,"Medford, Oregon",42.3265152,-122.8755949
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Indianapolis,39.768403,-86.158068,268,,,,,,,"Fresno, California",36.7377981,-119.7871247,"Memphis, Tennessee",35.1495343,-90.0489801
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,San Francisco,37.7749295,-122.4194155,244.26,,,,,,,"Grand Rapids, Michigan",42.9633599,-85.6680863,Miami,25.7616798,-80.1917902
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Miami,25.7616798,-80.1917902,258.83,,,,,,,"Greensboro/High Point, NC",35.9556923,-80.0053176,"Midland/Odessa, TX",31.8456816,-102.3676431
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Los Angeles,34.0549076,-118.242643,262.15,,,,,,,"Greenville/Spartanburg, SC",34.9507334,-81.9499806,Milwaukee,43.0389025,-87.9064736
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Little Rock, Arkansas",34.7444618,-92.2880157,212.45,,,,,,,"Harlingen, Texas",26.1906306,-97.6961026,Minneapolis–Saint Paul,44.9374831,-93.2009998
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Lubbock, Texas",33.5845617,-101.8456417,192.18,,,,,,,"Harrisburg, Pennsylvania",40.2731911,-76.8867008,"Mission, Texas",26.2159066,-98.3252932
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Louisville, Kentucky",38.2526647,-85.7584557,228.28,,,,,,,"Hartford, Connecticut",41.7658043,-72.6733723,"Missoula, Montana",46.8721284,-113.9940314
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Midland/Odessa, TX",31.8456816,-102.3676431,215.09,,,,,,,"Hilton Head Island, South Carolina",32.216316,-80.752608,"Montrose, Colorado",38.4783198,-107.8761738
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Sacramento, California",38.5815719,-121.4943996,300.32,,,,,,,Houston,29.7604267,-95.3698028,"Myrtle Beach, South Carolina",33.6954218,-78.8802094
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Tampa, Florida",27.9516896,-82.4587527,216.28,,,,,,,"Huntsville, Alabama",34.7303688,-86.5861037,"Nashville, Tennessee",36.1626638,-86.7816016
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Kansas City, Missouri",39.0997265,-94.5785667,204.72,,,,,,,"Idaho Falls, Idaho",43.4926607,-112.0407584,"New Haven, Connecticut",41.308274,-72.9278835
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,San Antonio,29.4251905,-98.4945922,216.78,,,,,,,Indianapolis,39.768403,-86.158068,New Orleans,29.9510658,-90.0715323
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Memphis, Tennessee",35.1495343,-90.0489801,194.77,,,,,,,"Jackson, Mississippi",32.2987573,-90.1848103,New York City,40.7127753,-74.0059728
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Omaha, Nebraska",41.2565369,-95.9345034,234.99,,,,,,,"Jackson, Wyoming",43.4799291,-110.7624282,"Norfolk, Virginia",36.8507689,-76.2858726
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Milwaukee,43.0389025,-87.9064736,256.9,,,,,,,"Jacksonville, Florida",30.3321838,-81.655651,Oklahoma City,35.4675602,-97.5164276
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,New Orleans,29.9510658,-90.0715323,185.83,,,,,,,"Kalispell, Montana",48.1919889,-114.3168131,"Omaha, Nebraska",41.2565369,-95.9345034
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,San Diego,32.715738,-117.1610838,251.27,,,,,,,"Kansas City, Missouri",39.0997265,-94.5785667,"Orlando, Florida",28.5383832,-81.3789269
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Norfolk, Virginia",36.8507689,-76.2858726,297.97,,,,,,,Key West,24.5550593,-81.7799871,"Palm Springs, California",33.8302961,-116.5452921
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Pensacola, Florida",30.421309,-87.2169149,240.36,,,,,,,"Knoxville, Tennessee",35.9606384,-83.9207392,"Panama City, Florida",30.1588129,-85.6602058
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"West Palm Beach, Florida",26.7153424,-80.0533746,382.01,,,,,,,Las Vegas,36.171563,-115.1391009,"Pensacola, Florida",30.421309,-87.2169149
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Portland, Oregon",45.515232,-122.6783853,290.81,,,,,,,"Latrobe, Pennsylvania",40.3211808,-79.3794811,Philadelphia,39.9525839,-75.1652215
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Philadelphia,39.9525839,-75.1652215,265.58,,,,,,,"Lexington, Kentucky",38.0405837,-84.5037164,"Phoenix, Arizona",33.4483771,-112.0740373
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Palm Springs, California",33.8302961,-116.5452921,314.07,,,,,,,"Little Rock, Arkansas",34.7444618,-92.2880157,Pittsburgh,40.4406248,-79.9958864
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Raleigh/Durham, NC",35.8991678,-78.8636402,276.37,,,,,,,Los Angeles,34.0549076,-118.242643,"Plattsburgh, New York",44.6994873,-73.4529124
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Richmond, Virginia",37.5407246,-77.4360481,333.06,,,,,,,"Louisville, Kentucky",38.2526647,-85.7584557,"Portland, Maine",43.6590993,-70.2568189
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Reno, Nevada",39.529919,-119.8142691,337.27,,,,,,,"Madison, Wisconsin",43.0721661,-89.4007501,"Portland, Oregon",45.515232,-122.6783853
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,Salt Lake City,40.7607793,-111.8910474,286.05,,,,,,,"Martha's Vineyard, MA",41.3804981,-70.645473,"Provo, Utah",40.2338438,-111.6585337
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Tulsa, Oklahoma",36.1539816,-95.992775,203.69,,,,,,,"Medford, Oregon",42.3265152,-122.8755949,"Punta Gorda, Florida",26.9297836,-82.0453664
2023,1,Dallas–Fort Worth metroplex,32.7078751,-96.9209135,"Savannah, Georgia",32.0808989,-81.091203,262.49,,,,,,,"Memphis, Tennessee",35.1495343,-90.0489801,"Raleigh/Durham, NC",35.8991678,-78.8636402
2023,1,Pittsburgh,40.4406248,-79.9958864,Seattle,47.6061389,-122.3328481,238.91,,,,,,,Miami,25.7616798,-80.1917902,"Rapid City, South Dakota",44.0805434,-103.2310149
2023,1,Pittsburgh,40.4406248,-79.9958864,"Washington, DC (Metropolitan Area)",39.1289725,-77.3783789,210.78,,,,,,,Milwaukee,43.0389025,-87.9064736,"Reno, Nevada",39.529919,-119.8142691
2023,1,Pittsburgh,40.4406248,-79.9958864,San Francisco,37.7749295,-122.4194155,313.49,,,,,,,Minneapolis–Saint Paul,44.9374831,-93.2009998,"Richmond, Virginia",37.5407246,-77.4360481
2023,1,Pittsburgh,40.4406248,-79.9958864,"Tampa, Florida",27.9516896,-82.4587527,177.41,,,,,,,"Minot, North Dakota",48.2329668,-101.2922906,"Rochester, New York",43.1565779,-77.6088465
2023,1,Pittsburgh,40.4406248,-79.9958864,"Sarasota/Bradenton, FL",27.336465,-82.5310117,183.39,,,,,,,"Missoula, Montana",46.8721284,-113.9940314,"Rockford, Illinois",42.2711311,-89.0939952
